smile结构,S.aureus  MIC (μg/mL),E.coli  MIC (μg/mL),,细胞毒性
O=C(C1=C(N(CC)CCCC)NN=N1)C2=CC(C=CC=C3)=C3C=C2,125,2000,,
O=C(C1=C(N(CC)CCCC)NN=N1)C2=CC=CC=C2,200,2000,,
O=C(C1=C(N(CC)CCCC)NN=N1)C2=CC=C(OC)C=C2,200,2000,,
O=C(C1=C(N(CC)CCCC)NN=N1)C2=CC=C(F)C=C2,200,2000,,
BrC1=CC=C(C(C2=C(N(CCC)CCCC)NN=N2)=O)C=C1,25,2000,,
BrC1=CC=C(C(C2=C(N(C)CCCCC)NN=N2)=O)C=C1,50,2000,,
O=C(C1=C(N(CC)CCCC)NN=N1)C2=CC=C([N+]([O-])=O)C=C2,100,2000,,
BrC1=CC=C(C(C2=C(N(C)CCCCCC)NN=N2)=O)C=C1,50,2000,,
BrC1=CC=C(C(C2=C(N(CCCCC)CCCCC)NN=N2)=O)C=C1,50,2000,,
BrC1=CC=C(C(C2=N[N](C)(C)N=C2N(CC)CCCC)=O)C=C1,250,2000,,
BrC1=CC=C(C(C2=N[N](CC)(C)N=C2N(C)CCCCC)=O)C=C1,500,1000,,
BrC1=CC=C(C(C2=N[N](CC)(C)N=C2N(CCCCC)CCCCC)=O)C=C1,0.5,250,,
BrC1=CC=C(C(C2=[NH+][N](CC)(C)N=C2N(CCC)CCCC)=O)C=C1,500,1000,,
BrC1=CC=C(C(C2=[NH+][N](CC)(C)N=C2N(C)CCCCCC)=O)C=C1,500,1000,,
N#CC1=C(C2=CC=C(C=C2)C)N(N=N1)C3=CC([N+]([O-])=O)=CC=C3,2000,2000,,
O=C(C1=CC=C(Br)C=C1)C2=C(N3[C@H](CN4CCCC4)CCC3)NN=N2,125,2000,,
O=C(N[C@@H](CCSC)C(OCC)=O)CN(C1=C(C(C2=CC=C(Br)C=C2)=O)N=NN1)C,125,1500,,
O=C(N[C@@H](CC1=CC=CC=C1)C(OC)=O)CN(C2=C(C(C3=CC=C(Br)C=C3)=O)N=NN2)C,250,200,,
O=C(OC1[C@H](O[C@H]2C1OC(C)(C)O2)[C@H]3COC(C)(O3)C)C4=C(NN=N4)N5CCCC5,800,800,,
O=C(C1=CC=C(Br)C=C1)C2=C(N(C)CCCC)NN=N2,100,800,,
BrC1=CC=C(C2=C(C#N)N=NN2C3=CC=C(C=C3)OC)C=C1,400,400,,
O=C(C1=CC=C(Br)C=C1)C2=C(N3CC(C=CC=C4)=C4CC3)NN=N2,500,2000,,
O=C(C1=CC=C(Br)C=C1)C2=C(N3[C@H](CO)CCC3)NN=N2,1000,2000,,
O=C(OC[C@@]12OC(C)(O[C@@H]1[C@@H]3[C@H](CO2)OC(C)(O3)C)C)C4=C(NN=N4)N5CCCC5,2000,2000,,
O=C(N1CCCC1)C2=C(N(C3=CC([N+]([O-])=O)=CC=C3)N=N2)C4=CC=C(C5=CC=CC=C5)C=C4,2000,2000,,
N#CC1=C(C2=CC=CC=C2)N(N=N1)C3=CC([N+]([O-])=O)=CC=C3,1000,1000,,
BrC1=CC=C(C2=C(C#N)N=NN2C3=CC=C(C=C3)Br)C=C1,2000,2000,,
N#CC1=C(C2=CC=C(C=C2)F)N(N=N1)C3=CC([N+]([O-])=O)=CC=C3,1000,1000,,
N#CC1=C(C)N(N=N1)C2=CC([N+]([O-])=O)=CC=C2,1000,1000,,
BrC1=CC=C(C2=C(N=NN2C3=CC4=C(C=C3)C=CC=C4)C#N)C=C1,1000,1000,,
O=C(C1=C(C2=CC=C(C=C2)C(C)=O)N(N=N1)C3=CC([N+]([O-])=O)=CC=C3)N4CCCC4,1000,1000,,
BrC1=CC=C(C(C2=C(N(CC)CCCC)NN=N2)=O)C=C1,31.25,500,,
BrC1=CC=C(C(C2=C(N(CCCC)CCCC)NN=N2)=O)C=C1,31.25,1000,,
BrC1=CC=C(C(C2=C(N3CCOCC3)NN=N2)=O)C=C1,1000,1000,,
BrC1=CC=C(C(C2=C(N(C)CCCC)NN=N2)=O)C=C1,62.5,500,,
ClC1=CC=C(C(C2=C(N(CC)CCCC)NN=N2)=O)C=C1,500,1000,,
CC1=CC=C(C(C2=C(N(CC)CCCC)NN=N2)=O)C=C1,62.5,2000,,中毒
BrC1=CC=C(C(C2=NN(C)N=C2N(CC)CCCC)=O)C=C1,500,2000,,
BrC1=CC=C(C(C2=NN(C)N=C2N(CCCC)CCCC)=O)C=C1,2000,2000,,
BrC1=CC=C(C(C2=NN(C)N=C2N3CCOCC3)=O)C=C1,250,2000,,
BrC1=CC=C(C(C2=NN(C)N=C2N(C)CCCC)=O)C=C1,500,1000,,
ClC1=CC=C(C(C2=NN(C)N=C2N(CC)CCCC)=O)C=C1,1000,2000,,
CC1=CC=C(C(C2=NN(C)N=C2N(CC)CCCC)=O)C=C1,500,1000,,
BrC1=CC=C(C(C2=NN(CC)N=C2N(CC)CCCC)=O)C=C1,2000,2000,,
O=C(C1=NN(C)N=C1N(CC)CCCC)C2=CC(C=CC=C3)=C3C=C2,250,1000,,
O=C(C1=NN(C)N=C1N(CC)CCCC)C2=CC=CC=C2,2000,2000,,
O=C(C1=NN(C)N=C1N(CC)CCCC)C2=CC=C(OC)C=C2,2000,2000,,
O=C(C1NN(C)N=C1N(CC)CCCC)C2=CC=C(F)C=C2,1000,1000,,
BrC1=CC=C(C(C2=NN(C)N=C2N(CCCCC)CCCCC)=O)C=C1,2000,2000,,
CCCCCCCCC(C1=NN(C)N=C1N(CC)CCCC)=O,1000,2000,,
O=C(C1=NN(C)N=C1N(CCCCCCC)CCCCCCC)C2=CC=C(Br)C=C2,2000,2000,,
O=C(C1=NN(C)N=C1N(CC)CCCC)C2=CC=C([N+]([O-])=O)C=C2,500,500,,
O=C(C1=C(N(CC)CCCC)NN=N1)C2=CC=C(C3=CC=CC=C3)C=C2,500,500,,
O=C(C1=C(N(CC)CCCC)NN=N1)C2=CC=C(C3=CC=CC=C3)C=C2,2000,1000,,
O=C(C1=C(N(CC)CCCC)NN=N1)C2=CC=C(C(OCC#CC3=CC=CC=C3)=O)C=C2,2000,1000,,
O=C(C1=C(N(CCCCCC)CCCCCC)NN=N1)C2=CC(C=CC=C3)=C3C=C2,1000,2000,,
CCCCCCC(C1=C(N(CC)CCCC)NN=N1)=O,31.25,500,,
O=C(C1=C(N(CCCC)CC)NN=N1)OCC2=CC=CC=C2,62.5,2000,,
BrC1=CC=C(C(C2=NN(C)N=C2N(C)CCCCCC)=O)C=C1,1000,2000,,
BrC1=CC=C(C(C2=NN(C)N=C2N(C)CCCCC)=O)C=C1,2000,1000,,
BrC1=CC=C(C(C2=NN(C)N=C2N(CCC)CCCC)=O)C=C1,2000,2000,,
O=C(C1=NN(C)N=C1N(CC)CCCC)C2=CC=C(C(OCC#CC3=CC=CC=C3)=O)C=C2,2000,2000,,
O=C(C1=NN(C)N=C1N(CCCCCC)CCCCCC)C2=CC(C=CC=C3)=C3C=C2,1000,1000,,
O=C(C1=NN(C)N=C1N(C)CCCCC)C2=CC(C=CC=C3)=C3C=C2,1000,2000,,
CCCCCCC(C1=NN(C)N=C1N(CC)CCCC)=O,2000,2000,,
O=C(C1=NN(C)N=C1N(CCCC)CC)OCC2=CC=CC=C2,500,2000,,
O=C(C1=C(N(CC2=CC=CC=C2)CC3=CC=CC=C3)NN=N1)C4=CC=CC=C4,500,1000,,
